name,image_url,category,details_url,region,habitat
Warsaw Grouper,https://myfwc.com/media/13905/warsawgrouper.jpg,Grouper,https://myfwc.com/wildlifehabitats/profiles/saltwater/grouper/warsaw-grouper/,Florida,Saltwater
Yellowfin Grouper,https://myfwc.com/media/13909/yellowfingrouper.jpg,Grouper,https://myfwc.com/wildlifehabitats/profiles/saltwater/grouper/yellowfin-grouper/,Florida,Saltwater
Yellowmouth Grouper,https://myfwc.com/media/13912/yellowmouthgrouper.jpg,Grouper,https://myfwc.com/wildlifehabitats/profiles/saltwater/grouper/yellowmouth-grouper/,Florida,Saltwater
Pigfish,https://myfwc.com/media/13855/pigfish.jpg,Grunt,https://myfwc.com/wildlifehabitats/profiles/saltwater/grunt/pigfish/,Florida,Saltwater
Tomtate,https://myfwc.com/media/13901/tomtate.jpg,Grunt,https://myfwc.com/wildlifehabitats/profiles/saltwater/grunt/tomtate/,Florida,Saltwater
White Grunt,https://myfwc.com/media/13907/whitegrunt.jpg,Grunt,https://myfwc.com/wildlifehabitats/profiles/saltwater/grunt/white-grunt/,Florida,Saltwater
Gulf Sturgeon,https://myfwc.com/media/14400/gulfsturgeon.png,None,https://myfwc.com/wildlifehabitats/profiles/saltwater/gulf-sturgeon/,Florida,Saltwater
Hogfish,https://myfwc.com/media/13834/hogfish.jpg,None,https://myfwc.com/wildlifehabitats/profiles/saltwater/hogfish/,Florida,Saltwater
African Pompano,https://myfwc.com/media/13779/africanpompano.jpg,Jacks,https://myfwc.com/wildlifehabitats/profiles/saltwater/jacks/african-pompano/,Florida,Saltwater
Almaco Jack,https://myfwc.com/media/13780/almacojack.jpg,Jacks,https://myfwc.com/wildlifehabitats/profiles/saltwater/jacks/almaco-jack/,Florida,Saltwater
Atlantic Bumper,https://myfwc.com/media/13783/atlanticbumper.jpg,Jacks,https://myfwc.com/wildlifehabitats/profiles/saltwater/jacks/atlantic-bumper/,Florida,Saltwater
Banded Rudderfish,https://myfwc.com/media/13789/bandedrudderfish.jpg,Jacks,https://myfwc.com/wildlifehabitats/profiles/saltwater/jacks/banded-rudderfish/,Florida,Saltwater
Bigeye Scad,https://myfwc.com/media/13792/bigeyescad.jpg,Jacks,https://myfwc.com/wildlifehabitats/profiles/saltwater/jacks/bigeye-scad/,Florida,Saltwater
Blue Runner,https://myfwc.com/media/13803/bluerunner.jpg,Jacks,https://myfwc.com/wildlifehabitats/profiles/saltwater/jacks/blue-runner/,Florida,Saltwater
Crevalle Jack,https://myfwc.com/media/13812/crevallejack.jpg,Jacks,https://myfwc.com/wildlifehabitats/profiles/saltwater/jacks/crevalle-jack/,Florida,Saltwater
Florida Pompano,https://myfwc.com/media/13821/floridapompano.jpg,Jacks,https://myfwc.com/wildlifehabitats/profiles/saltwater/jacks/florida-pompano/,Florida,Saltwater
Greater Amberjack,https://myfwc.com/media/13829/greateramberjack.jpg,Jacks,https://myfwc.com/wildlifehabitats/profiles/saltwater/jacks/greater-amberjack/,Florida,Saltwater
Horse-eye Jack,https://myfwc.com/media/13835/horseeyejack.jpg,Jacks,https://myfwc.com/wildlifehabitats/profiles/saltwater/jacks/horse-eye-jack/,Florida,Saltwater
Leatherjacket,https://myfwc.com/media/13841/leatherjack.jpg,Jacks,https://myfwc.com/wildlifehabitats/profiles/saltwater/jacks/leatherjacket/,Florida,Saltwater
Lesser Amberjack,https://myfwc.com/media/13843/lesseramberjack.jpg,Jacks,https://myfwc.com/wildlifehabitats/profiles/saltwater/jacks/lesser-amberjack/,Florida,Saltwater
Lookdown,https://myfwc.com/media/13848/lookdown.jpg,Jacks,https://myfwc.com/wildlifehabitats/profiles/saltwater/jacks/lookdown/,Florida,Saltwater
Palometa,https://myfwc.com/media/13853/palometa.jpg,Jacks,https://myfwc.com/wildlifehabitats/profiles/saltwater/jacks/palometa/,Florida,Saltwater
Permit,https://myfwc.com/media/13854/permit.jpg,Jacks,https://myfwc.com/wildlifehabitats/profiles/saltwater/jacks/permit/,Florida,Saltwater
Round Scad,https://myfwc.com/media/13864/roundscad.jpg,Jacks,https://myfwc.com/wildlifehabitats/profiles/saltwater/jacks/round-scad/,Florida,Saltwater
Cero Mackerel,https://myfwc.com/media/13809/cero.jpg,Mackerel,https://myfwc.com/wildlifehabitats/profiles/saltwater/mackerel/cero-mackerel/,Florida,Saltwater
King Mackerel,https://myfwc.com/media/13837/kingmackerel.jpg,Mackerel,https://myfwc.com/wildlifehabitats/profiles/saltwater/mackerel/king-mackerel/,Florida,Saltwater
